investing_symbol,sector,sub_sector
FOLU,Basic Materials,Paper & Forest Products
FOPT,Consumer Cyclicals,Specialty Retailers
FOUN,Technology,Electronic Equipment & Parts
FPIB,Technology,Computers Phones & Household Electronics
FRAS,Consumer Non-Cyclicals,Beverages
FRKN,Industrials,Professional & Commercial Services
FUJI,Technology,Software & IT Services
FVCO,Industrials,Machinery Equipment & Components
GADA,Industrials,Construction & Engineering
GAGA,Others,Others
GAMU,Industrials,Construction & Engineering
GAQR,Industrials,Construction & Engineering
GASM,Utilities,Natural Gas Utilities
GBAY,Basic Materials,Containers & Packaging
GCAP,Industrials,Passenger Transportation Services
GDBH,Industrials,Construction & Engineering
GDEX,Industrials,Freight & Logistics Services
GENM,Consumer Cyclicals,Hotels & Entertainment Services
GENP,Consumer Non-Cyclicals,Food & Tobacco
GENT,Consumer Cyclicals,Hotels & Entertainment Services
GESH,Basic Materials,Chemicals
GFMS,Consumer Non-Cyclicals,Others
GHLS,Industrials,Professional & Commercial Services
GIIB,Consumer Cyclicals,Automobiles & Auto Parts
GKMS,Industrials,Machinery Equipment & Components
GLOA,Technology,Software & IT Services
GLOL,Others,Others
GLOM,Others,Others
GLOS,Industrials,Construction & Engineering
GLOT,Industrials,Machinery Equipment & Components
GMUT,Others,Others
GNCH,Consumer Non-Cyclicals,Food & Tobacco
GNIC,Technology,Semiconductors & Semiconductor Equipment
GOCE,Consumer Non-Cyclicals,Food & Tobacco
GOLD,Consumer Non-Cyclicals,Food & Tobacco
GOPK,Consumer Non-Cyclicals,Food & Tobacco
GPPR,Utilities,Electrical Utilities & IPPs
GRAN,Consumer Cyclicals,Hotels & Entertainment Services
GREA,Industrials,Machinery Equipment & Components
GRNP,Technology,Communications & Networking
GROS,Basic Materials,Paper & Forest Products
GRYB,Basic Materials,Paper & Forest Products
GTCY,Industrials,Machinery Equipment & Components
GUHB,Technology,Semiconductors & Semiconductor Equipment
GUOL,Others,Others
HAIL,Industrials,Construction & Engineering
HAPP,Consumer Non-Cyclicals,Food & Tobacco
HAPS,Consumer Non-Cyclicals,Others
HARE,Technology,Software & IT Services
HARR,Industrials,Freight & Logistics Services
HBGL,Consumer Non-Cyclicals,Food & Tobacco
HCKC,Others,Others
HDEB,Energy,Oil & Gas Related Equipment and Services
HEGR,Utilities,Electrical Utilities & IPPs
HEIN,Consumer Non-Cyclicals,Beverages
HEIT,Technology,Software & IT Services
HEKR,Real Estate,Residential & Commercial REITs
HENY,Energy,Oil & Gas
HEVE,Basic Materials,Paper & Forest Products
HEXA,Basic Materials,Chemicals
HEXC,Technology,Communications & Networking
HEXE,Basic Materials,Construction Materials
HEXI,Basic Materials,Paper & Forest Products
HEXR,Healthcare,Healthcare Equipment & Supplies
HEXT,Basic Materials,Chemicals
HHCS,Industrials,Construction & Engineering
HHRG,Consumer Cyclicals,Textiles & Apparel
HIAP,Industrials,Professional & Commercial Services
HIBI,Energy,Oil & Gas
HILI,Basic Materials,Chemicals
HLBB,Financials,Banking Services
HLCB,Financials,Banking Services
HLEN,Consumer Non-Cyclicals,Food & Tobacco
HLGC,Financials,Investment Banking & Investment Services
HLIB,Consumer Non-Cyclicals,Others
HLTG,Industrials,Machinery Equipment & Components
HOME,Consumer Cyclicals,Household Goods
HONG,Healthcare,Healthcare Providers & Services
HOWA,Industrials,Machinery Equipment & Components
HPMT,Industrials,Machinery Equipment & Components
HPPH,Basic Materials,Containers & Packaging
HSIB,Consumer Non-Cyclicals,Food & Tobacco
HSON,Consumer Non-Cyclicals,Food & Drug Retailing 
HSSE,Industrials,Construction & Engineering
HTHB,Healthcare,Healthcare Equipment & Supplies
HTVE,Basic Materials,Metals & Mining
HUAY,Others,Others
HUBE,Industrials,Freight & Logistics Services
HUMC,Basic Materials,Construction Materials
HWAT,Consumer Non-Cyclicals,Food & Tobacco
HXZS,Basic Materials,Chemicals
IBHD,Others,Others
IBRC,Others,Others
ICOI,Healthcare,Healthcare Equipment & Supplies
ICON,Energy,Oil & Gas Related Equipment and Services
ICTZ,Consumer Non-Cyclicals,Personal &Household Products & Services
IDBT,Technology,Software & IT Services
IDEA,Others,Others
IFCA,Technology,Software & IT Services
IGBB,Others,Others
IGBC,Others,Others
IGRE,Real Estate,Residential & Commercial REITs
IHHH,Healthcare,Healthcare Providers & Services
IJMS,Industrials,Construction & Engineering
IKEN,Consumer Cyclicals,Hotels & Entertainment Services
ILBG,Utilities,Electrical Utilities & IPPs
IMSP,Basic Materials,Chemicals
INAR,Technology,Semiconductors & Semiconductor Equipment
INDU,Technology,Electronic Equipment & Parts
INFM,Technology,Software & IT Services
INFO,Technology,Software & IT Services
INFR,Industrials,Construction & Engineering
INGE,Others,Others
INNA,Consumer Cyclicals,Specialty Retailers
INNO,Consumer Non-Cyclicals,Food & Tobacco
INNY,Consumer Cyclicals,Media & Publishing
INSS,Financials,Investment Banking & Investment Services
INTA,Consumer Cyclicals,Homebuilding & Construction Supplies
IOIB,Consumer Non-Cyclicals,Food & Tobacco
IOIP,Others,Others
IQGH,Technology,Electronic Equipment & Parts
IQZA,Basic Materials,Containers & Packaging
IRIB,Technology,Software & IT Services
IRKA,Industrials,Construction & Engineering
ITMA,Industrials,Professional & Commercial Services
IVRY,Others,Others
IWCI,Others,Others
JADI,Technology,Office Equipment
JAGB,Industrials,Professional & Commercial Services
JAKS,Industrials,Construction & Engineering
JATI,Industrials,Construction & Engineering
JAYC,Consumer Cyclicals,Household Goods
JCBN,Industrials,Professional & Commercial Services
JCYI,Technology,Computers Phones & Household Electronics
JENT,Utilities,Electrical Utilities & IPPs
JETS,Basic Materials,Chemicals
JFTB,Technology,Electronic Equipment & Parts
JHHS,Industrials,Diversified Trading & Distributing
JHMC,Technology,Semiconductors & Semiconductor Equipment
JIAN,Others,Others
JISH,Basic Materials,Containers & Packaging
JKBM,Industrials,Machinery Equipment & Components
JKGL,Others,Others
JOEH,Consumer Cyclicals,Automobiles & Auto Parts
JTIA,Basic Materials,Paper & Forest Products
KANG,Basic Materials,Paper & Forest Products
KARE,Consumer Non-Cyclicals,Personal &Household Products & Services
KARY,Basic Materials,Chemicals
KCDS,Others,Others
KEHG,Industrials,Machinery Equipment & Components
KELG,Industrials,Construction & Engineering
KENH,Others,Others
KERA,Others,Others
KESM,Technology,Semiconductors & Semiconductor Equipment
KEYF,Industrials,Freight & Logistics Services
KFIM,Industrials,Professional & Commercial Services
KGRP,Consumer Non-Cyclicals,Others
KGWG,Industrials,Freight & Logistics Services
KHEE,Consumer Non-Cyclicals,Food & Tobacco
KHIN,Industrials,Machinery Equipment & Components
KHLH,Industrials,Machinery Equipment & Components
KIAL,Basic Materials,Construction Materials
KICB,Industrials,Construction & Engineering
KIMH,Consumer Cyclicals,Homebuilding & Construction Supplies
KIMI,Consumer Cyclicals,Specialty Retailers
KIML,Consumer Non-Cyclicals,Food & Tobacco
KIMT,Consumer Non-Cyclicals,Food & Drug Retailing 
KINE,Industrials,Construction & Engineering
KIPR,Real Estate,Residential & Commercial REITs
KJTS,Industrials,Professional & Commercial Services
KKBE,Industrials,Construction & Engineering
KLCC,Real Estate,Residential & Commercial REITs
KLKK,Basic Materials,Chemicals
KLRK,Consumer Non-Cyclicals,Food & Tobacco
KMDA,Consumer Cyclicals,Textiles & Apparel
KNMP,Energy,Oil & Gas Related Equipment and Services
KNNK,Financials,Investment Banking & Investment Services
KNUS,Industrials,Construction & Engineering
KOBA,Industrials,Machinery Equipment & Components
KOIN,Healthcare,Pharmaceuticals
KOMK,Industrials,Professional & Commercial Services
KONE,Technology,Electronic Equipment & Parts
KPJH,Healthcare,Healthcare Providers & Services
KPSB,Industrials,Machinery Equipment & Components
KPSC,Basic Materials,Construction Materials
KREJ,Industrials,Construction & Engineering
KREK,Consumer Non-Cyclicals,Food & Tobacco
KRIB,Healthcare,Healthcare Equipment & Supplies
